i    t    ke
   1   1.000000E-02   9.999989E-01
   2   2.000000E-02   9.996992E-01
   3   3.000000E-02   9.995690E-01
   4   4.000000E-02   9.994276E-01
   5   5.000000E-02   9.993023E-01
   6   6.000000E-02   9.992040E-01
   7   7.000000E-02   9.990901E-01
   8   8.000000E-02   9.989279E-01
   9   9.000000E-02   9.988093E-01
  10   9.999999E-02   9.986335E-01
  11   1.100000E-01   9.985195E-01
  12   1.200000E-01   9.983801E-01
  13   1.300000E-01   9.982502E-01
  14   1.400000E-01   9.981558E-01
  15   1.500000E-01   9.980072E-01
  16   1.600000E-01   9.978572E-01
  17   1.700000E-01   9.977632E-01
  18   1.800000E-01   9.976721E-01
  19   1.900000E-01   9.974869E-01
  20   2.000000E-01   9.973452E-01
  21   2.100000E-01   9.971956E-01
  22   2.200000E-01   9.970952E-01
  23   2.300000E-01   9.969284E-01
  24   2.400000E-01   9.968116E-01
  25   2.500000E-01   9.966916E-01
  26   2.600000E-01   9.965511E-01
  27   2.700000E-01   9.963773E-01
  28   2.800000E-01   9.962547E-01
  29   2.900000E-01   9.961380E-01
  30   3.000000E-01   9.959804E-01
  31   3.100000E-01   9.958669E-01
  32   3.200000E-01   9.957480E-01
  33   3.300000E-01   9.956337E-01
  34   3.400000E-01   9.955294E-01
  35   3.500000E-01   9.953644E-01
  36   3.600000E-01   9.952382E-01
  37   3.700000E-01   9.951198E-01
  38   3.800000E-01   9.950000E-01
  39   3.900000E-01   9.948882E-01
  40   4.000000E-01   9.947112E-01
  41   4.100000E-01   9.945753E-01
  42   4.200000E-01   9.944396E-01
  43   4.300000E-01   9.943042E-01
  44   4.400000E-01   9.941317E-01
  45   4.500000E-01   9.939908E-01
  46   4.600000E-01   9.938592E-01
  47   4.700000E-01   9.937913E-01
  48   4.800000E-01   9.936678E-01
  49   4.900000E-01   9.934907E-01
  50   5.000000E-01   9.933047E-01
  51   5.100000E-01   9.932067E-01
  52   5.200000E-01   9.930475E-01
  53   5.300000E-01   9.929197E-01
  54   5.400000E-01   9.927434E-01
  55   5.500000E-01   9.925514E-01
  56   5.600000E-01   9.924354E-01
  57   5.700000E-01   9.922854E-01
  58   5.800000E-01   9.921580E-01
  59   5.900000E-01   9.920161E-01
  60   6.000000E-01   9.918910E-01
  61   6.100000E-01   9.917558E-01
  62   6.200000E-01   9.916306E-01
  63   6.300000E-01   9.915031E-01
  64   6.400000E-01   9.914154E-01
  65   6.500000E-01   9.912397E-01
  66   6.600000E-01   9.910496E-01
  67   6.700000E-01   9.909105E-01
  68   6.800000E-01   9.907718E-01
  69   6.900000E-01   9.906337E-01
  70   7.000000E-01   9.905544E-01
  71   7.100000E-01   9.903995E-01
  72   7.200000E-01   9.903040E-01
  73   7.300000E-01   9.901575E-01
  74   7.400000E-01   9.900312E-01
  75   7.500000E-01   9.898716E-01
  76   7.600000E-01   9.897144E-01
  77   7.700000E-01   9.895857E-01
  78   7.800000E-01   9.894655E-01
  79   7.900000E-01   9.893576E-01
  80   8.000000E-01   9.891889E-01
  81   8.100000E-01   9.889969E-01
  82   8.200000E-01   9.889538E-01
  83   8.300000E-01   9.888455E-01
  84   8.400000E-01   9.886812E-01
  85   8.500000E-01   9.886063E-01
  86   8.600000E-01   9.885089E-01
  87   8.700000E-01   9.882699E-01
  88   8.800000E-01   9.882017E-01
